Dataset,DatasetSize,Epoch,Epsilon,BatchSize,SampleRate,Steps,Sigma,Sigma_over_q,CumulativeNoise,TotalNoiseVariance,CumulativeEffectiveNoise
sun397,8534,60,2.0,4096,0.47996250292945863,125.009765625,10.859375,22.625465393066406,121.41624601003703,14741.90479516983,252.9702742797012
sun397,8534,60,2.0,8192,0.9599250058589173,62.5048828125,15.15625,15.788993835449219,119.82535737109919,14358.116269111633,124.82783200744146
sun397,8534,60,2.0,8534,1.0,60.0,15.546875,15.546875,120.42557592113687,14502.3193359375,120.42557592113687
sun397,8534,60,4.0,1,0.00011717834544176236,512040.0,0.48828125,4166.9921875,349.39926909363174,122079.84924316406,2981773.362445053
sun397,8534,60,4.0,2,0.00023435669088352472,256020.0,0.52215576171875,2228.0386352539062,264.20255987364783,69802.99264378846,1127352.3229808554
sun397,8534,60,4.0,4,0.00046871338176704945,128010.0,0.56549072265625,1206.4744567871094,202.3240142595311,40935.00674609095,431658.2844227096
sun397,8534,60,4.0,8,0.0009374267635340989,64005.0,0.62286376953125,664.4399261474609,157.57960979021485,24831.333421636373,168098.0487437117
sun397,8534,60,4.0,16,0.0018748535270681978,32002.5,0.7025146484375,374.70375061035156,125.67454960211566,15794.092417694628,67031.66289402844
sun397,8534,60,4.0,32,0.0037497070541363956,16001.25,0.819091796875,218.44154357910156,103.61187473712313,10735.420586541295,27631.991843956526
sun397,8534,60,4.0,64,0.007499414108272791,8000.625,0.9912109375,132.17178344726562,88.66006453250905,7860.6070429086685,11822.265480006754
sun397,8534,60,4.0,128,0.014998828216545582,4000.3125,1.251220703125,83.42123031616211,79.13723666583547,6262.702227104455,5276.22795083
sun397,8534,60,4.0,256,0.029997656433091165,2000.15625,1.640625,54.6917724609375,73.37384650966266,5383.721351623535,2445.9859613807075
sun397,8534,60,4.0,512,0.05999531286618233,1000.078125,2.216796875,36.949501037597656,70.10401062690596,4914.5723059773445,1168.4914583789364
