Dataset,DatasetSize,Epoch,Epsilon,BatchSize,SampleRate,Steps,Sigma,Sigma_over_q,CumulativeNoise,TotalNoiseVariance,CumulativeEffectiveNoise
imagenet397,8471,40,0.5,64,0.007555188289458151,5294.375,4.0625,537.7099609375,295.59747741201,87377.86865234375,39125.09736183026
imagenet397,8471,40,0.5,128,0.015110376578916302,2647.1875,5.703125,377.4310302734375,293.4304922483823,86101.45378112793,19419.138279969113
imagenet397,8471,40,0.5,256,0.030220753157832604,1323.59375,7.96875,263.6846923828125,289.91291053870214,84049.49569702148,9593.172910833382
imagenet397,8471,40,0.5,512,0.06044150631566521,661.796875,11.25,186.13037109375,289.4108964641579,83758.6669921875,4788.2806717732055
imagenet397,8471,40,0.5,1024,0.12088301263133042,330.8984375,15.9375,131.84234619140625,289.91291053870214,84049.49569702148,2398.2932277083455
imagenet397,8471,40,0.5,2048,0.24176602526266083,165.44921875,22.5,93.065185546875,289.4108964641579,83758.6669921875,1197.0701679433014
imagenet397,8471,40,0.5,4096,0.48353205052532167,82.724609375,31.875,65.92117309570312,289.91291053870214,84049.49569702148,599.5733069270864
imagenet397,8471,40,0.5,8192,0.9670641010506433,41.3623046875,45.0,46.5325927734375,289.4108964641579,83758.6669921875,299.26754198582535
imagenet397,8471,40,0.5,8471,1.0,40.0,45.625,45.625,288.55783649036465,83265.625,288.55783649036465
imagenet397,8471,40,1.0,1,0.00011804981702278361,338840.0,0.62255859375,5273.69384765625,362.39113817337767,131327.33702659607,3069815.3314666823
imagenet397,8471,40,1.0,2,0.00023609963404556722,169420.0,0.6982421875,2957.40478515625,287.4010985720456,82599.3914604187,1217287.3530018993
imagenet397,8471,40,1.0,4,0.00047219926809113444,84710.0,0.8154296875,1726.876220703125,237.3306669606042,56325.84547996521,502607.01995581953
imagenet397,8471,40,1.0,8,0.0009443985361822689,42355.0,0.986328125,1044.398193359375,202.98958710333292,41204.77247238159,214940.59904404165
imagenet397,8471,40,1.0,16,0.0018887970723645378,21177.5,1.25,661.796875,181.90613994585232,33089.84375,96307.93196758219
imagenet397,8471,40,1.0,32,0.0037775941447290755,10588.75,1.640625,434.30419921875,168.8230229374254,28501.21307373047,44690.61960321658
imagenet397,8471,40,1.0,64,0.007555188289458151,5294.375,2.20703125,292.12127685546875,160.58901417094773,25788.83147239685,21255.461547532785
imagenet397,8471,40,1.0,128,0.015110376578916302,2647.1875,3.046875,201.6412353515625,156.76423558475216,24575.02555847168,10374.608122175277
imagenet397,8471,40,1.0,256,0.030220753157832604,1323.59375,4.2578125,140.89035034179688,154.90444729763985,23995.38779258728,5125.763957259012
imagenet397,8471,40,1.0,512,0.06044150631566521,661.796875,5.9765625,98.88175964355469,153.74953874658385,23638.920664787292,2543.7741068795153
imagenet397,8471,40,1.0,1024,0.12088301263133042,330.8984375,8.4375,69.79888916015625,153.48330557931288,23557.125091552734,1269.6846499632418
imagenet397,8471,40,1.0,2048,0.24176602526266083,165.44921875,11.875,49.11773681640625,152.74463980052775,23330.92498779297,631.7870330811868
imagenet397,8471,40,1.0,4096,0.48353205052532167,82.724609375,16.71875,34.57630157470703,152.06216386098592,23122.901678085327,314.48207765293256
imagenet397,8471,40,1.0,8192,0.9670641010506433,41.3623046875,23.4375,24.23572540283203,150.73484190841555,22720.99256515503,155.8685114509507
imagenet397,8471,40,1.0,8471,1.0,40.0,23.90625,23.90625,151.19640062680065,22860.3515625,151.19640062680065
